DateTime,Source,Air Temp,Humidity,Soil Moisture
"April 9, 2021 at 09:42AM",Garden_Data2,22.2,52,777
"April 9, 2021 at 09:56AM",Garden_Data2,22.9,52,776
"April 9, 2021 at 10:11AM",Garden_Data2,23.2,51,776
"April 9, 2021 at 10:25AM",Garden_Data2,23,50,776
"April 9, 2021 at 10:40AM",Garden_Data2,22.7,50,776
"April 9, 2021 at 10:54AM",Garden_Data2,22.9,51,776
"April 9, 2021 at 11:09AM",Garden_Data2,23.2,50,776
"April 9, 2021 at 11:23AM",Garden_Data2,23.2,49,776
"April 9, 2021 at 11:38AM",Garden_Data2,23.2,49,776
"April 9, 2021 at 11:52AM",Garden_Data2,23.5,48,776
"April 9, 2021 at 12:07PM",Garden_Data2,23.8,46,776
"April 9, 2021 at 12:21PM",Garden_Data2,24.2,46,775
"April 9, 2021 at 12:36PM",Garden_Data2,24.3,45,775
"April 9, 2021 at 12:50PM",Garden_Data2,24.6,44,775
"April 9, 2021 at 01:05PM",Garden_Data2,24.8,44,775
"April 9, 2021 at 01:19PM",Garden_Data2,25,43,775
"April 9, 2021 at 01:34PM",Garden_Data2,25.3,43,775
"April 9, 2021 at 01:49PM",Garden_Data2,25.5,42,775
"April 9, 2021 at 02:03PM",Garden_Data2,25.6,42,774
"April 9, 2021 at 02:18PM",Garden_Data2,25.8,42,774
"April 9, 2021 at 02:32PM",Garden_Data2,26,43,774
"April 9, 2021 at 02:47PM",Garden_Data2,26.2,42,774
"April 9, 2021 at 03:01PM",Garden_Data2,26.4,42,773
"April 9, 2021 at 03:16PM",Garden_Data2,26.5,40,772
"April 9, 2021 at 03:30PM",Garden_Data2,26.2,38,773
"April 9, 2021 at 03:45PM",Garden_Data2,27.2,34,773
"April 9, 2021 at 03:59PM",Garden_Data2,26.2,35,773
"April 9, 2021 at 04:14PM",Garden_Data2,25.3,35,773
"April 9, 2021 at 04:29PM",Garden_Data2,24.6,36,773
"April 9, 2021 at 04:43PM",Garden_Data2,24.2,37,773
"April 9, 2021 at 04:58PM",Garden_Data2,24,37,773
"April 9, 2021 at 05:12PM",Garden_Data2,23.7,37,773
"April 9, 2021 at 05:27PM",Garden_Data2,23.5,37,773
"April 9, 2021 at 05:42PM",Garden_Data2,23.3,38,773
"April 9, 2021 at 05:56PM",Garden_Data2,23.1,38,773
"April 9, 2021 at 06:11PM",Garden_Data2,23,38,773
"April 9, 2021 at 06:25PM",Garden_Data2,23.1,40,773
"April 9, 2021 at 06:40PM",Garden_Data2,23.7,39,773
"April 9, 2021 at 06:54PM",Garden_Data2,24,39,772
"April 9, 2021 at 07:09PM",Garden_Data2,24.2,40,772
"April 9, 2021 at 07:24PM",Garden_Data2,24.2,41,770
"April 9, 2021 at 07:38PM",Garden_Data2,24.2,41,770
"April 9, 2021 at 07:53PM",Garden_Data2,24.1,42,770
"April 9, 2021 at 08:07PM",Garden_Data2,24,42,769
"April 9, 2021 at 08:22PM",Garden_Data2,24,43,769
"April 9, 2021 at 08:37PM",Garden_Data2,23.9,46,769
"April 9, 2021 at 08:51PM",Garden_Data2,23.6,47,768
"April 9, 2021 at 09:06PM",Garden_Data2,23.4,48,768
"April 9, 2021 at 09:20PM",Garden_Data2,23.2,48,768
"April 9, 2021 at 09:35PM",Garden_Data2,23.1,48,769
"April 9, 2021 at 09:49PM",Garden_Data2,22.9,47,768
"April 9, 2021 at 10:04PM",Garden_Data2,22.8,47,768
"April 9, 2021 at 10:18PM",Garden_Data2,22.7,48,768
"April 9, 2021 at 10:33PM",Garden_Data2,22.7,48,769
"April 9, 2021 at 10:47PM",Garden_Data2,22.6,48,768
"April 9, 2021 at 11:02PM",Garden_Data2,22.5,48,769
"April 9, 2021 at 11:16PM",Garden_Data2,22.4,48,769
"April 9, 2021 at 11:31PM",Garden_Data2,22.3,49,769
"April 9, 2021 at 11:45PM",Garden_Data2,22.2,49,769
"April 10, 2021 at 12:00AM",Garden_Data2,22.2,49,769
"April 10, 2021 at 12:15AM",Garden_Data2,22.1,50,769
"April 10, 2021 at 12:29AM",Garden_Data2,22.1,50,769
"April 10, 2021 at 12:44AM",Garden_Data2,22,50,769
"April 10, 2021 at 12:58AM",Garden_Data2,21.9,49,769
"April 10, 2021 at 01:13AM",Garden_Data2,21.8,49,769
"April 10, 2021 at 01:28AM",Garden_Data2,21.7,50,769
"April 10, 2021 at 01:42AM",Garden_Data2,21.6,50,771
"April 10, 2021 at 01:57AM",Garden_Data2,21.5,50,771
"April 10, 2021 at 02:12AM",Garden_Data2,21.4,50,771
"April 10, 2021 at 02:26AM",Garden_Data2,21.3,50,771
"April 10, 2021 at 02:41AM",Garden_Data2,21.2,51,772
"April 10, 2021 at 02:55AM",Garden_Data2,21.2,51,772
"April 10, 2021 at 03:10AM",Garden_Data2,21.1,51,772
"April 10, 2021 at 03:25AM",Garden_Data2,21,51,772
"April 10, 2021 at 03:39AM",Garden_Data2,21,51,773
"April 10, 2021 at 03:54AM",Garden_Data2,20.9,50,773
"April 10, 2021 at 04:08AM",Garden_Data2,20.8,51,773
"April 10, 2021 at 04:23AM",Garden_Data2,20.8,51,773
"April 10, 2021 at 04:37AM",Garden_Data2,20.7,51,773
"April 10, 2021 at 04:52AM",Garden_Data2,20.6,51,773
"April 10, 2021 at 05:07AM",Garden_Data2,20.5,51,773
